date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:54	41967/41967	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:14%20GMT	http://dingleberry.me/	./dingleberry/dingleberry.me/index.html	(from )
11:21:54	3976/3976	---M--	200	added ('OK')	text/css	etag:%224af7e9f9-f88%22	http://dingleberry.me/wp-content/themes/quadstripe/style.css	./dingleberry/dingleberry.me/wp-content/themes/quadstripe/style.css	(from http://dingleberry.me/)
11:21:55	362/362	---M--	200	added ('OK')	text/css	etag:%2248e3b11e-16a%22	http://dingleberry.me/wp-content/themes/quadstripe/blue.css	./dingleberry/dingleberry.me/wp-content/themes/quadstripe/blue.css	(from http://dingleberry.me/)
11:21:56	42/42	---MC-	200	added ('OK')	text/plain	date:Tue,%2028%20Jul%202020%2009:20:17%20GMT	http://dingleberry.me/xmlrpc.php	./dingleberry/dingleberry.me/xmlrpc.php	(from http://dingleberry.me/)
11:21:57	1999/1999	---M--	200	added ('OK')	text/css	etag:%2252ea5a40-7cf%22	http://dingleberry.me/wp-content/uploads/shadowbox-js/src/shadowbox.css?ver=3.0.3	./dingleberry/dingleberry.me/wp-content/uploads/shadowbox-js/src/shadowbox19ce.css	(from http://dingleberry.me/)
11:21:59	153/153	---M--	200	added ('OK')	text/css	etag:%2252ea59f9-99%22	http://dingleberry.me/wp-content/plugins/shadowbox-js/css/extras.css?ver=3.0.3.10	./dingleberry/dingleberry.me/wp-content/plugins/shadowbox-js/css/extrasc393.css	(from http://dingleberry.me/)
11:21:59	26855/26855	---MC-	200	added ('OK')	text/xml	etag:%22fad857ebf4224d6bab72a748257b77b2%22	http://dingleberry.me/feed/	./dingleberry/dingleberry.me/feed/index.html	(from http://dingleberry.me/)
11:21:59	5949/5949	---M--	200	added ('OK')	text/css	etag:%2252ea59ff-173d%22	http://dingleberry.me/wp-content/plugins/sociable/css/sociable.css?ver=3.8.1	./dingleberry/dingleberry.me/wp-content/plugins/sociable/css/sociable7e2e.css	(from http://dingleberry.me/)
11:22:00	1012/1012	---M--	200	added ('OK')	text/css	etag:%2252ea59f2-3f4%22	http://dingleberry.me/wp-content/plugins/quotes-collection/quotes-collection.css?ver=1.5.7	./dingleberry/dingleberry.me/wp-content/plugins/quotes-collection/quotes-collection00e2.css	(from http://dingleberry.me/)
11:22:03	93085/93085	---M--	200	added ('OK')	application/x-javascript	etag:%2252ea59ae-16b9d%22	http://dingleberry.me/wp-includes/js/jquery/jquery.js?ver=1.10.2	./dingleberry/dingleberry.me/wp-includes/js/jquery/jquery3e5a.js	(from http://dingleberry.me/)
11:22:04	7200/7200	---M--	200	added ('OK')	application/x-javascript	etag:%2252ea59ae-1c20%22	http://dingleberry.me/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	./dingleberry/dingleberry.me/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://dingleberry.me/)
